,raw_hz,peak_id,line_width,integral,file_path
0,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft
1,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft
2,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft
3,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft
4,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft
5,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft
6,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft
7,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft
8,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft
9,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft
10,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ct.ft
11,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ct.ft
12,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ct.ft
13,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ct.ft
14,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ct.ft
15,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ctF.ft
16,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ctF.ft
17,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ctF.ft
18,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ctF.ft
19,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ctF.ft
20,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ct.ft
21,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ct.ft
22,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ct.ft
23,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ct.ft
24,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ct.ft
25,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ctF.ft
26,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ctF.ft
27,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ctF.ft
28,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ctF.ft
29,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2671Hz-130C-32ctF.ft
30,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft
31,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft
32,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft
33,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft
34,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft
35,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft
36,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft
37,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft
38,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft
39,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft
40,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft
41,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft
42,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft
43,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft
44,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft
45,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft
46,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft
47,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft
48,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft
49,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft
50,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft
51,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft
52,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft
53,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft
54,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft
55,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft
56,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft
57,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft
58,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft
59,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft
60,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft
61,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft
62,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft
63,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft
64,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft
65,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft
66,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft
67,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft
68,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft
69,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft
70,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft
71,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft
72,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft
73,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft
74,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft
75,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft
76,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft
77,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft
78,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft
79,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft
80,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft
81,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft
82,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft
83,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft
84,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ct.ft
85,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft
86,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft
87,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft
88,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft
89,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2732Hz-70C-32ctF.ft
90,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft
91,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft
92,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft
93,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft
94,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ct.ft
95,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft
96,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft
97,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft
98,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft
99,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2742Hz-60C-32ctF.ft
100,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft
101,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft
102,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft
103,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft
104,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ct.ft
105,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft
106,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft
107,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft
108,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft
109,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2752Hz-50C-32ctF.ft
110,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft
111,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft
112,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft
113,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft
114,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ct.ft
115,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft
116,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft
117,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft
118,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft
119,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2762Hz-40C-32ctF.ft
120,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft
121,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft
122,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft
123,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft
124,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ct.ft
125,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft
126,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft
127,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft
128,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft
129,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2767Hz-25C-32ctF.ft
130,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft
131,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft
132,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft
133,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft
134,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ct.ft
135,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft
136,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft
137,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft
138,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft
139,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2730Hz-140C-32ctF.ft
140,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ct.ft
141,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ct.ft
142,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ct.ft
143,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ct.ft
144,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ct.ft
145,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ctF.ft
146,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ctF.ft
147,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ctF.ft
148,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ctF.ft
149,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2735Hz-130C-32ctF.ft
150,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ct.ft
151,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ct.ft
152,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ct.ft
153,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ct.ft
154,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ct.ft
155,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ctF.ft
156,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ctF.ft
157,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ctF.ft
158,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ctF.ft
159,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2744Hz-110C-32ctF.ft
160,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ct.ft
161,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ct.ft
162,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ct.ft
163,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ct.ft
164,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ct.ft
165,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ctF.ft
166,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ctF.ft
167,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ctF.ft
168,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ctF.ft
169,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2755Hz-90C-32ctF.ft
170,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-concentrated-Gibbsite-2767Hz-170C-32ct.ft
